abs_ssc,median_age,median_monthly_mortgage_payments,median_weekly_rental_payments,median_individual_income,median_household_income,avg_household_size
SSC10001,50,0,0,575,949,1.4
SSC10002,38,2167,505,721,2171,3.5
SSC10003,45,2600,520,965,2006,2.3
SSC10004,36,1733,370,813,2006,3.1
SSC10005,55,0,0,449,833,1.6
SSC10006,35,1300,270,511,998,2.5
SSC10007,37,1625,240,603,1328,2.5
SSC10008,43,560,50,825,1812,3
SSC10009,30,2007,380,758,1897,3
SSC10010,37,1367,280,498,1185,2.6
SSC10011,32,1733,300,507,1575,2.8
SSC10012,44,0,0,1042,1649,0
SSC10013,42,0,235,450,762,1.4
SSC10014,34,2383,520,905,2378,3.4
SSC10015,55,1000,150,549,783,1.9
SSC10016,36,1842,325,698,1404,2.4
SSC10017,41,2008,395,751,1770,2.7
SSC10018,46,1083,180,507,1018,2.3
SSC10019,36,975,0,814,1375,3.1
SSC10020,55,0,135,454,850,2.2
SSC10021,36,2000,380,776,1910,3.3
SSC10022,30,1200,178,385,677,2.8
SSC10023,33,1475,165,340,687,2.6
SSC10024,40,0,0,592,1562,2.7
SSC10025,35,1950,385,639,1678,3
SSC10026,40,1700,320,550,1198,2.6
SSC10027,43,1625,240,786,1372,2.1
SSC10028,37,1300,250,495,1125,2.6
SSC10029,49,1430,110,575,1312,2.3
SSC10030,33,2500,590,1341,2421,2.1
SSC10031,40,2400,740,841,2622,3.4
SSC10032,40,2557,200,900,1583,2.4
SSC10033,47,0,0,325,0,1
SSC10034,43,2600,595,669,2083,3
SSC10035,45,2079,240,724,1062,2
SSC10036,41,2902,478,777,2229,3
SSC10037,46,2640,370,866,1781,1.9
SSC10038,33,1950,440,614,1494,2.7
SSC10039,41,0,0,450,949,1.7
SSC10040,50,1300,230,479,959,2.3
SSC10041,47,1430,230,606,1050,1.9
SSC10042,53,1478,0,687,1875,2.5
SSC10043,39,454,0,1025,1625,3.2
SSC10044,46,2865,0,749,2200,3
SSC10045,47,1950,310,694,1421,2.7
SSC10046,50,1560,300,570,1069,2.3
SSC10047,51,1300,0,519,1187,2.5
SSC10048,38,0,0,828,1833,2.5
SSC10049,32,1700,330,556,1287,3
SSC10050,47,0,0,333,1083,1.3
SSC10051,28,0,0,962,0,0
SSC10052,45,0,0,637,866,2.5
SSC10053,42,0,425,575,999,2.2
SSC10054,47,0,150,662,1031,2
SSC10055,43,1950,90,680,1375,2.8
SSC10056,45,1083,260,609,1160,2.4
SSC10057,51,0,0,407,440,1.5
SSC10058,65,1500,0,474,959,1.7
SSC10059,52,1300,320,693,1347,2
SSC10060,47,1733,350,497,1065,2.4
SSC10061,37,3000,540,1162,2337,2.3
SSC10062,41,2900,500,765,2484,3.6
SSC10063,32,2275,400,822,2104,3.2
SSC10064,48,0,0,664,1374,1.7
SSC10065,40,1733,150,814,1625,3.5
SSC10066,47,0,0,612,1562,1.5
SSC10067,49,1083,0,415,1224,3.1
SSC10068,56,0,0,933,2250,1
SSC10069,56,1320,350,564,1075,2.2
SSC10070,55,867,150,438,716,1.9
SSC10071,34,0,0,0,0,0
SSC10072,44,3000,425,772,2433,3.2
SSC10073,44,1647,325,612,1366,2.6
SSC10074,40,0,58,485,833,2.4
SSC10075,51,1560,150,589,1281,2.5
SSC10076,54,607,89,415,769,2.2
SSC10077,35,1500,0,754,900,2.5
SSC10078,40,1517,275,490,1002,2.4
SSC10079,52,867,175,433,794,2.3
SSC10080,26,0,0,350,900,1
SSC10081,47,650,115,525,907,2.3
SSC10082,55,1250,0,695,1166,1.9
SSC10083,27,0,0,899,0,6
SSC10084,36,650,100,745,1228,2.6
SSC10085,34,1452,260,564,1201,2.4
SSC10086,33,2167,500,629,1657,2.9
SSC10087,34,0,0,900,0,0
SSC10088,67,1083,220,420,682,1.7
SSC10089,47,1387,320,566,1222,2.5
SSC10090,35,2483,541,1028,2183,2.5
SSC10091,50,1330,0,866,1875,2.3
SSC10092,35,0,0,665,900,2.2
SSC10093,42,2500,560,743,2157,3.1
SSC10094,58,1300,295,490,1006,2.1
SSC10095,52,1100,333,434,875,2.3
SSC10096,56,0,0,674,0,3
SSC10097,31,1733,225,405,887,3.1
SSC10098,34,2058,440,681,1632,2.5
SSC10099,53,650,150,426,791,2.2
SSC10100,30,1083,200,770,1557,2.7
SSC10101,33,1235,200,505,876,2.4
SSC10102,36,1777,380,768,1844,3
SSC10103,39,2400,528,787,2029,3
SSC10104,45,0,0,350,743,2.6
SSC10105,42,1268,250,639,1184,2.5
SSC10106,30,1733,400,434,1240,3.5
SSC10107,48,1733,225,766,1687,2.6
SSC10108,41,2383,473,880,2031,2.7
SSC10109,43,2000,380,517,1353,3.1
SSC10110,48,1600,285,594,1281,2.7
SSC10111,44,2817,625,839,2137,2.8
SSC10112,45,1002,0,474,687,1.6
SSC10113,48,2573,256,685,1531,2.6
SSC10114,41,2167,440,764,1896,2.8
SSC10115,0,0,0,0,0,0
SSC10116,42,1733,212,578,1278,2.5
SSC10117,41,1600,0,855,2049,3.3
SSC10118,40,1718,300,606,1597,2.8
SSC10119,47,1894,398,654,1520,2.2
SSC10120,45,1517,215,655,1218,1.9
SSC10121,0,0,0,0,0,0
SSC10122,43,0,0,833,933,1
SSC10123,30,0,0,860,1625,3.4
SSC10124,53,0,0,537,1749,2
SSC10125,68,0,0,366,725,1.7
SSC10126,48,0,0,374,0,0
SSC10127,53,0,0,525,887,0
SSC10128,52,0,0,700,1624,1
SSC10129,50,3640,0,725,1875,2.5
SSC10130,47,1700,231,484,1375,3
SSC10131,61,0,0,687,0,0
SSC10132,37,1654,290,571,1278,3
SSC10133,63,0,0,687,762,0
SSC10134,49,0,100,589,1437,2.3
SSC10135,43,1959,0,612,1499,2.9
SSC10136,54,0,0,450,900,1.4
SSC10137,28,0,0,437,1749,0
SSC10138,56,1200,285,525,1041,2.2
SSC10139,53,1625,0,662,1124,2
SSC10140,60,0,0,417,424,1
SSC10141,64,0,0,575,1125,2
SSC10142,54,800,75,787,1562,1.8
SSC10143,42,1789,380,602,1213,2.7
SSC10144,52,1100,25,556,1042,2.2
SSC10145,41,1750,368,548,1153,2.5
SSC10146,38,0,0,660,1124,2.1
SSC10147,45,1700,350,653,1347,2.5
SSC10148,39,0,0,450,1093,1
SSC10149,62,0,0,424,0,2
SSC10150,51,1387,0,612,1458,1.9
SSC10151,38,217,50,566,1100,2.7
SSC10152,42,0,0,589,1125,2.5
SSC10153,39,3000,580,1088,2261,2.5
SSC10154,41,4292,1100,1139,3726,3.2
SSC10155,43,2167,375,636,1558,2.6
SSC10156,37,0,0,383,1625,3.7
SSC10157,49,1600,0,479,1281,2.5
SSC10158,59,0,0,574,824,1.6
SSC10159,48,997,0,642,1093,2.2
SSC10160,37,1733,300,491,1416,2.8
SSC10161,44,1278,240,624,1281,2.5
SSC10162,55,1517,295,515,819,1.9
SSC10163,31,0,0,833,0,0
SSC10164,40,3000,600,1342,2550,2.3
SSC10165,43,3500,580,1315,2485,2.2
SSC10166,42,1800,350,667,1543,2.6
SSC10167,45,2167,330,630,1678,2.8
SSC10168,45,858,150,577,1057,2.4
SSC10169,47,0,0,450,1625,4
SSC10170,0,0,0,0,0,0
SSC10171,48,1733,93,570,1375,2.7
SSC10172,25,0,0,449,1649,0
SSC10173,50,2065,300,704,1916,2.5
SSC10174,43,1800,500,691,1401,2.6
SSC10175,48,0,0,612,1062,2.4
SSC10176,49,2492,0,919,2139,2.3
SSC10177,42,2500,598,848,2289,3
SSC10178,38,2383,480,652,1685,3
SSC10179,46,0,0,1031,0,0
SSC10180,32,1733,400,453,1120,3.1
SSC10181,0,0,0,0,0,0
SSC10182,52,1100,0,374,774,1.6
SSC10183,49,1302,190,766,1562,2.9
SSC10184,60,0,0,664,665,1.6
SSC10185,50,1733,360,538,1080,2.4
SSC10186,55,1300,0,406,949,2.6
SSC10187,39,2435,300,867,1719,2.1
SSC10188,52,1582,200,519,833,1.5
SSC10189,46,0,0,379,725,1
SSC10190,49,758,140,453,771,2.2
SSC10191,36,3500,1200,1875,3661,1.9
SSC10192,0,0,0,0,0,0
SSC10193,37,2383,615,849,2772,3.5
SSC10194,29,2405,500,919,2187,3.3
SSC10195,41,2257,500,770,1992,2.9
SSC10196,40,2288,490,645,1684,2.9
SSC10197,44,693,125,605,1154,2.4
SSC10198,40,2080,360,638,1485,2.9
SSC10199,56,1083,150,495,835,2
SSC10200,66,0,0,466,0,1
SSC10201,45,680,138,418,575,2.2
SSC10202,42,650,120,430,808,2.5
SSC10203,0,0,0,0,0,0
SSC10204,36,1700,340,627,1402,2.8
SSC10205,44,1344,215,607,1079,2.4
SSC10206,55,650,155,442,737,2
SSC10207,40,1647,320,516,1088,2.6
SSC10208,45,2167,340,655,1342,2.5
SSC10209,55,1647,200,437,850,2.6
SSC10210,59,905,208,597,1187,2.2
SSC10211,0,0,0,0,0,0
SSC10212,0,0,0,0,0,0
SSC10213,44,2167,200,634,1375,2.7
SSC10214,45,0,0,450,900,0
SSC10215,43,0,0,575,1012,2.3
SSC10216,56,1733,233,501,1070,2.3
SSC10217,0,0,0,0,0,0
SSC10218,44,1395,160,660,1281,2.7
SSC10219,43,0,0,0,0,0
SSC10220,45,1300,0,1023,1792,2.8
SSC10221,43,0,0,612,899,2.1
SSC10222,40,0,0,448,575,2
SSC10223,45,1317,300,495,970,2.5
SSC10224,34,2080,380,469,1225,3.2
SSC10225,0,0,0,0,0,0
SSC10226,53,1600,0,514,1031,2.5
SSC10227,44,1820,340,583,1245,2.5
SSC10228,54,1509,265,483,901,2
SSC10229,53,1300,230,459,703,1.8
SSC10230,46,2167,0,825,1999,3.2
SSC10231,36,1500,260,598,1029,2
SSC10232,50,1001,150,528,928,2.2
SSC10233,38,2300,520,794,2107,3
SSC10234,48,1939,350,708,1442,2.6
SSC10235,55,1300,280,502,1025,2.1
SSC10236,0,0,0,0,0,0
SSC10237,56,3000,500,775,1476,2.3
SSC10238,40,2900,736,794,2369,3.2
SSC10239,34,2455,623,1197,2330,2.3
SSC10240,55,520,0,459,780,2.3
SSC10241,50,0,0,624,1275,2.4
SSC10242,57,950,0,774,1875,2.3
SSC10243,35,2600,655,894,2787,3.6
SSC10244,41,560,0,675,1375,3
SSC10245,47,1733,270,623,1583,2.6
SSC10246,35,0,40,608,1312,2
SSC10247,42,715,0,687,1281,2.3
SSC10248,46,1517,270,495,1093,2.7
SSC10249,43,3000,595,906,2598,3.1
SSC10250,0,0,0,0,0,0
SSC10251,37,1380,231,712,1368,2.6
SSC10252,28,0,0,525,0,0
SSC10253,43,1357,270,541,974,2.3
SSC10254,36,1600,0,1078,1875,3.4
