abs_ssc,num_houses,num_townhouses,num_flats,num_others,tot_dwellings
SSC10001,6,0,0,9,19
SSC10002,1180,20,0,42,1240
SSC10003,623,328,1184,210,2351
SSC10004,336,14,0,22,372
SSC10005,11,0,0,5,15
SSC10006,734,172,3,109,1016
SSC10007,665,8,44,158,876
SSC10008,28,0,0,7,39
SSC10009,1591,132,3,116,1847
SSC10010,786,21,3,82,894
SSC10011,86,0,0,0,88
SSC10012,5,0,0,4,10
SSC10013,14,0,0,4,17
SSC10014,235,835,37,19,1126
SSC10015,129,0,3,81,213
SSC10016,1625,383,362,273,2642
SSC10017,1808,30,60,158,2055
SSC10018,354,3,15,66,433
SSC10019,27,0,0,9,39
SSC10020,20,0,0,5,21
SSC10021,252,0,0,22,275
SSC10022,684,245,3,59,993
SSC10023,44,0,0,33,74
SSC10024,25,0,0,11,35
SSC10025,3686,530,14,260,4482
SSC10026,1911,429,17,210,2579
SSC10027,1242,595,102,467,2401
SSC10028,249,3,0,18,270
SSC10029,66,0,0,19,88
SSC10030,122,1224,2205,396,3944
SSC10031,901,9,0,44,952
SSC10032,28,0,0,0,35
SSC10033,3,0,0,4,7
SSC10034,23,0,0,0,29
SSC10035,30,0,0,0,35
SSC10036,1885,168,173,185,2408
SSC10037,28,0,0,4,33
SSC10038,343,79,1591,137,2160
SSC10039,12,0,0,10,25
SSC10040,44,0,0,6,51
SSC10041,70,0,0,18,91
SSC10042,26,0,0,15,37
SSC10043,14,0,0,3,19
SSC10044,38,0,0,17,53
SSC10045,147,3,0,5,155
SSC10046,1807,432,36,196,2472
SSC10047,26,0,0,6,36
SSC10048,11,0,0,0,16
SSC10049,1986,223,94,100,2399
SSC10050,10,0,0,5,18
SSC10051,3,0,0,0,3
SSC10052,19,0,0,6,28
SSC10053,7,0,0,3,14
SSC10054,29,0,0,4,36
SSC10055,23,0,0,5,24
SSC10056,56,0,0,5,61
SSC10057,14,0,0,13,27
SSC10058,29,0,0,84,110
SSC10059,62,18,0,48,132
SSC10060,1057,171,3,414,1645
SSC10061,163,2353,984,533,4027
SSC10062,366,4,0,31,403
SSC10063,750,17,9,63,833
SSC10064,14,0,0,7,22
SSC10065,9,0,0,7,20
SSC10066,7,0,0,0,6
SSC10067,3,0,0,36,41
SSC10068,8,0,0,0,8
SSC10069,168,3,0,50,224
SSC10070,68,0,0,32,96
SSC10071,0,0,0,0,3
SSC10072,409,0,0,23,436
SSC10073,494,5,0,82,588
SSC10074,24,0,0,8,25
SSC10075,78,0,0,9,87
SSC10076,193,0,4,50,249
SSC10077,13,0,0,6,19
SSC10078,451,52,21,58,581
SSC10079,86,0,0,4,90
SSC10080,6,0,0,0,6
SSC10081,166,8,3,54,227
SSC10082,18,0,0,4,19
SSC10083,3,0,0,0,3
SSC10084,43,0,0,11,58
SSC10085,6590,888,503,1237,9224
SSC10086,1547,441,1402,344,3728
SSC10087,0,0,0,0,0
SSC10088,191,3,0,98,292
SSC10089,192,3,3,38,238
SSC10090,803,314,2462,269,3849
SSC10091,15,0,0,0,15
SSC10092,14,0,0,7,22
SSC10093,947,83,18,87,1132
SSC10094,138,0,0,9,151
SSC10095,80,0,0,15,99
SSC10096,4,0,0,0,4
SSC10097,787,18,215,80,1090
SSC10098,1983,676,5671,846,9164
SSC10099,238,0,3,59,296
SSC10100,127,0,0,12,135
SSC10101,1182,0,238,184,1608
SSC10102,1394,87,0,88,1570
SSC10103,910,129,50,172,1250
SSC10104,25,0,0,5,37
SSC10105,209,0,0,24,228
SSC10106,4559,1021,4197,818,10589
SSC10107,41,0,0,7,42
SSC10108,694,93,81,104,976
SSC10109,763,7,4,113,888
SSC10110,51,0,0,0,47
SSC10111,2663,80,537,442,3715
SSC10112,11,0,0,14,20
SSC10113,70,3,0,23,100
SSC10114,1272,88,70,737,2164
SSC10115,0,0,0,0,0
SSC10116,478,98,49,80,709
SSC10117,33,0,0,12,49
SSC10118,131,0,0,9,139
SSC10119,70,0,0,12,83
SSC10120,65,0,0,14,79
SSC10121,0,0,0,0,0
SSC10122,3,0,0,0,4
SSC10123,11,0,0,5,15
SSC10124,6,0,0,0,6
SSC10125,10,0,0,0,10
SSC10126,5,0,0,0,7
SSC10127,8,0,0,0,5
SSC10128,3,0,0,3,8
SSC10129,23,0,0,8,27
SSC10130,45,0,0,8,57
SSC10131,6,0,0,7,12
SSC10132,65,0,0,12,73
SSC10133,7,0,0,0,4
SSC10134,17,0,0,5,25
SSC10135,9,0,0,4,18
SSC10136,16,0,0,4,22
SSC10137,11,0,0,0,11
SSC10138,18,0,0,0,18
SSC10139,14,0,0,3,15
SSC10140,7,0,0,3,10
SSC10141,8,0,0,3,9
SSC10142,11,0,0,12,26
SSC10143,163,0,0,13,177
SSC10144,43,0,0,14,64
SSC10145,346,0,10,81,434
SSC10146,14,0,0,5,23
SSC10147,86,5,0,11,100
SSC10148,4,0,0,0,4
SSC10149,4,0,0,3,11
SSC10150,21,0,0,5,26
SSC10151,30,0,0,12,47
SSC10152,16,0,0,4,20
SSC10153,1026,703,1238,317,3278
SSC10154,980,30,0,83,1092
SSC10155,1479,516,30,135,2165
SSC10156,6,0,0,0,9
SSC10157,39,0,0,4,44
SSC10158,12,0,0,3,20
SSC10159,54,0,0,21,75
SSC10160,28,0,0,5,31
SSC10161,59,0,0,7,67
SSC10162,1764,1542,311,610,4227
SSC10163,0,0,0,0,3
SSC10164,361,2307,1474,440,4591
SSC10165,42,421,318,122,899
SSC10166,258,3,0,31,292
SSC10167,143,0,0,9,153
SSC10168,459,13,25,153,657
SSC10169,5,0,0,0,5
SSC10170,0,0,0,0,0
SSC10171,33,0,0,24,62
SSC10172,5,0,0,3,7
SSC10173,222,0,0,35,251
SSC10174,668,18,13,100,798
SSC10175,16,0,0,3,16
SSC10176,37,0,0,3,42
SSC10177,1567,163,57,65,1862
SSC10178,816,93,120,96,1130
SSC10179,0,0,0,0,4
SSC10180,3162,1093,5225,861,10341
SSC10181,0,0,0,0,0
SSC10182,17,0,0,31,45
SSC10183,43,0,0,18,63
SSC10184,16,0,0,0,14
SSC10185,3956,2236,181,522,6887
SSC10186,19,0,0,3,22
SSC10187,196,85,230,95,603
SSC10188,34,0,0,62,93
SSC10189,13,0,0,5,12
SSC10190,300,3,11,63,369
SSC10191,3,0,49,38,96
SSC10192,0,0,0,0,0
SSC10193,1099,92,0,43,1233
SSC10194,320,131,0,35,489
SSC10195,655,49,39,66,808
SSC10196,538,204,33,61,829
SSC10197,194,0,0,38,230
SSC10198,1280,144,0,117,1536
SSC10199,540,44,37,160,784
SSC10200,0,0,0,3,11
SSC10201,63,0,0,24,88
SSC10202,156,0,0,54,210
SSC10203,0,0,0,0,0
SSC10204,584,0,0,31,616
SSC10205,578,31,33,136,774
SSC10206,574,9,18,152,752
SSC10207,1924,15,216,177,2332
SSC10208,151,30,18,75,273
SSC10209,49,0,0,6,57
SSC10210,37,0,0,34,76
SSC10211,0,0,0,0,3
SSC10212,0,0,0,0,0
SSC10213,48,0,0,32,84
SSC10214,3,0,0,3,7
SSC10215,10,0,0,0,15
SSC10216,145,0,0,23,170
SSC10217,0,0,0,0,0
SSC10218,59,0,0,5,69
SSC10219,0,0,0,0,3
SSC10220,29,0,0,7,36
SSC10221,12,0,0,0,11
SSC10222,30,0,0,15,46
SSC10223,509,18,34,161,722
SSC10224,1924,563,167,252,2910
SSC10225,0,0,0,3,6
SSC10226,26,0,0,7,33
SSC10227,3528,715,218,469,4930
SSC10228,495,99,107,403,1114
SSC10229,276,95,279,331,977
SSC10230,11,0,0,3,14
SSC10231,1550,925,492,608,3564
SSC10232,498,7,5,97,604
SSC10233,9016,1845,1145,648,12651
SSC10234,88,0,0,8,97
SSC10235,266,0,0,421,679
SSC10236,0,0,0,0,0
SSC10237,843,408,187,160,1603
SSC10238,2030,112,81,120,2340
SSC10239,38,202,141,47,427
SSC10240,27,0,0,7,32
SSC10241,19,0,0,11,31
SSC10242,40,0,0,15,50
SSC10243,2372,89,0,104,2572
SSC10244,39,0,0,10,53
SSC10245,66,0,0,9,73
SSC10246,19,0,0,3,16
SSC10247,49,0,0,14,63
SSC10248,214,0,0,12,223
SSC10249,2661,107,173,195,3137
SSC10250,0,0,0,0,0
SSC10251,133,0,0,9,148
SSC10252,6,0,0,5,7
SSC10253,1597,171,32,207,2004
SSC10254,26,0,0,3,32
SSC10255,8,0,0,7,13
SSC10256,44,0,0,7,54
SSC10257,1401,516,139,142,2206
SSC10258,42,0,0,22,71
SSC10259,10,0,0,0,8
SSC10260,40,0,0,4,43
SSC10261,161,0,0,17,178
SSC10262,13,0,0,8,16
SSC10263,1812,362,0,99,2279
SSC10264,800,631,146,127,1707
SSC10265,35,0,0,9,44
SSC10266,121,0,0,14,137
SSC10267,37,0,0,21,62
SSC10268,643,56,4,60,771
SSC10269,279,6,0,19,313
SSC10270,119,0,0,56,170
SSC10271,1309,172,2355,455,4288
SSC10272,36,0,0,6,44
SSC10273,1331,50,19,145,1543
SSC10274,45,0,0,6,47
SSC10275,13,0,0,6,19
SSC10276,2038,430,374,416,3256
SSC10277,1969,234,21,147,2365
SSC10278,336,54,19,49,458
SSC10279,2056,433,1726,407,4621
SSC10280,92,0,0,6,104
SSC10281,5,0,0,3,6
SSC10282,0,0,0,3,8
SSC10283,2213,613,27,158,3012
SSC10284,225,0,0,78,306
SSC10285,27,0,0,5,36
SSC10286,62,0,0,19,73
SSC10287,37,0,0,26,65
SSC10288,25,0,0,133,159
SSC10289,183,0,0,29,211
SSC10290,55,0,0,3,61
SSC10291,62,4,5,5,81
SSC10292,23,0,0,18,39
SSC10293,32,0,0,12,45
SSC10294,9,0,0,3,11
SSC10295,3,0,0,0,5
SSC10296,7,0,0,3,16
SSC10297,787,6,3,57,856
SSC10298,66,0,0,5,76
SSC10299,1641,334,694,214,2883
SSC10300,36,0,0,8,39
SSC10301,1115,100,39,132,1391
SSC10302,57,0,0,9,70
SSC10303,2464,94,195,230,2967
SSC10304,2595,113,214,231,3154
SSC10305,288,9,0,20,321
SSC10306,0,0,0,0,0
SSC10307,523,88,29,407,1040
SSC10308,1403,87,0,77,1568
SSC10309,0,0,0,3,3
SSC10310,1639,59,14,86,1801
SSC10311,28,0,0,3,34
SSC10312,113,82,0,36,238
SSC10313,112,0,0,219,335
SSC10314,30,0,0,6,35
SSC10315,10,0,0,11,22
SSC10316,405,45,9,132,592
