abs_ssc,tot_families,no_kids,kids_u15,kids_over15,tot_single_parent_families,single_parent_kids_u15,single_parent_kids_over15
SSC10001,6,3,0,0,0,0,0
SSC10002,1177,263,405,498,159,64,98
SSC10003,1532,662,496,351,230,93,136
SSC10004,310,99,140,71,37,21,15
SSC10005,8,4,0,3,0,0,0
SSC10006,657,220,292,130,187,119,64
SSC10007,546,218,222,106,84,47,39
SSC10008,26,13,14,4,0,0,0
SSC10009,1513,469,745,289,236,152,90
SSC10010,632,238,244,138,111,58,56
SSC10011,69,13,36,16,8,3,4
SSC10012,3,0,3,0,0,0,0
SSC10013,13,3,4,0,4,4,0
SSC10014,1070,242,511,302,128,54,77
SSC10015,85,55,20,13,8,4,3
SSC10016,1541,528,638,340,286,135,149
SSC10017,1532,581,598,332,173,71,106
SSC10018,253,113,94,40,36,22,12
SSC10019,22,3,10,4,0,0,0
SSC10020,13,8,0,6,0,0,0
SSC10021,228,72,91,59,28,10,12
SSC10022,715,100,362,239,395,245,150
SSC10023,31,14,14,11,12,7,3
SSC10024,18,4,13,0,0,0,0
SSC10025,3674,1136,1596,916,596,325,271
SSC10026,1915,710,690,489,446,252,192
SSC10027,1122,532,386,192,160,80,79
SSC10028,206,104,50,45,25,13,9
SSC10029,50,27,14,8,3,0,0
SSC10030,2062,1283,560,175,154,80,78
SSC10031,896,240,275,369,80,23,61
SSC10032,25,11,11,5,3,3,0
SSC10033,3,0,0,0,0,0,0
SSC10034,20,4,6,6,5,0,3
SSC10035,19,9,6,3,0,0,0
SSC10036,1829,536,831,455,192,64,128
SSC10037,21,7,6,9,4,3,3
SSC10038,1571,575,550,385,246,86,157
SSC10039,14,3,9,0,0,0,0
SSC10040,31,9,12,16,3,3,4
SSC10041,39,13,18,6,9,4,3
SSC10042,22,11,5,3,0,0,0
SSC10043,15,4,11,0,0,0,0
SSC10044,40,17,14,6,3,0,3
SSC10045,132,60,37,35,12,9,8
SSC10046,1568,719,512,317,270,139,138
SSC10047,29,12,6,8,3,3,0
SSC10048,10,4,6,3,0,0,0
SSC10049,1989,532,851,572,589,349,243
SSC10050,8,3,3,0,0,0,0
SSC10051,3,0,3,0,0,0,0
SSC10052,11,3,4,0,0,0,0
SSC10053,6,4,3,0,0,0,0
SSC10054,18,6,6,6,3,3,3
SSC10055,14,6,8,0,0,0,0
SSC10056,45,21,10,8,0,0,0
SSC10057,9,4,0,3,0,0,0
SSC10058,25,21,3,0,0,0,0
SSC10059,60,34,11,8,9,4,0
SSC10060,995,414,325,241,176,82,96
SSC10061,2244,943,896,360,256,105,156
SSC10062,381,123,120,129,35,9,21
SSC10063,714,230,334,152,95,46,51
SSC10064,5,4,3,0,0,0,0
SSC10065,13,0,5,4,3,0,0
SSC10066,3,0,0,0,0,0,0
SSC10067,33,20,6,8,3,0,3
SSC10068,3,0,0,0,0,0,0
SSC10069,135,82,26,26,13,3,5
SSC10070,38,25,6,6,8,3,3
SSC10071,3,0,0,0,0,0,0
SSC10072,388,141,135,108,40,14,24
SSC10073,410,167,146,86,68,33,31
SSC10074,14,9,4,0,4,0,0
SSC10075,70,36,16,16,11,5,3
SSC10076,130,63,39,25,17,13,8
SSC10077,5,3,3,0,0,0,0
SSC10078,363,121,121,103,111,42,62
SSC10079,58,25,21,9,13,10,3
SSC10080,4,0,4,0,0,0,0
SSC10081,121,67,49,13,4,3,7
SSC10082,15,9,0,0,3,0,0
SSC10083,5,0,3,0,0,0,0
SSC10084,33,15,17,0,0,0,0
SSC10085,5283,2153,2073,959,993,582,410
SSC10086,2604,932,941,651,387,134,252
SSC10087,0,0,0,0,0,0,0
SSC10088,151,113,16,20,18,9,12
SSC10089,162,71,51,36,25,14,12
SSC10090,2539,884,1134,458,317,141,171
SSC10091,17,9,3,0,0,0,0
SSC10092,8,4,4,0,0,0,0
SSC10093,915,242,356,300,113,28,84
SSC10094,105,75,15,13,6,4,4
SSC10095,70,33,15,17,8,8,4
SSC10096,5,0,0,0,0,0,0
SSC10097,789,142,382,234,253,124,123
SSC10098,5715,2361,1920,1234,817,304,512
SSC10099,165,81,48,37,33,22,14
SSC10100,95,34,44,9,21,14,4
SSC10101,949,300,426,200,350,232,123
SSC10102,1289,411,567,310,176,101,76
SSC10103,933,279,398,240,119,47,70
SSC10104,26,12,8,0,3,3,0
SSC10105,164,81,50,33,29,15,11
SSC10106,8314,2337,3674,2061,1251,537,713
SSC10107,36,16,13,0,3,0,0
SSC10108,678,254,269,154,74,28,50
SSC10109,682,220,226,215,107,46,55
SSC10110,41,15,13,11,5,5,3
SSC10111,2695,964,1014,695,314,124,188
SSC10112,8,3,3,0,0,0,0
SSC10113,59,27,16,8,8,3,4
SSC10114,1251,422,547,275,181,96,87
SSC10115,0,0,0,0,0,0,0
SSC10116,463,187,156,117,87,49,31
SSC10117,37,13,17,3,3,3,0
SSC10118,109,32,36,33,18,5,7
SSC10119,53,23,11,17,6,0,5
SSC10120,46,26,9,7,8,5,3
SSC10121,0,0,0,0,0,0,0
SSC10122,4,0,0,0,0,0,0
SSC10123,11,5,5,0,0,0,0
SSC10124,5,0,0,3,3,0,3
SSC10125,5,3,0,0,0,0,0
SSC10126,3,0,0,0,0,0,0
SSC10127,3,0,0,0,0,0,0
SSC10128,3,4,0,0,0,0,0
SSC10129,21,8,10,3,3,0,3
SSC10130,40,14,17,15,4,0,4
SSC10131,7,3,0,0,0,0,0
SSC10132,50,13,25,13,12,9,5
SSC10133,3,3,0,0,0,0,0
SSC10134,18,11,3,3,0,0,0
SSC10135,9,5,3,0,3,0,0
SSC10136,13,8,3,0,3,0,0
SSC10137,5,3,4,0,0,0,0
SSC10138,16,9,3,0,3,0,0
SSC10139,13,5,3,0,0,0,0
SSC10140,0,0,0,0,0,0,0
SSC10141,8,8,0,0,0,0,0
SSC10142,14,6,3,0,0,0,0
SSC10143,133,46,50,35,21,5,17
SSC10144,31,22,9,3,3,0,3
SSC10145,272,120,98,55,42,27,21
SSC10146,9,5,6,0,0,0,0
SSC10147,68,30,29,4,8,5,0
SSC10148,4,0,3,0,0,0,0
SSC10149,3,3,0,0,0,0,0
SSC10150,14,9,3,3,3,0,3
SSC10151,24,12,3,3,5,0,3
SSC10152,8,3,6,3,0,0,0
SSC10153,2167,765,989,386,287,134,155
SSC10154,887,207,451,231,67,35,36
SSC10155,1576,573,557,432,257,112,144
SSC10156,7,0,3,0,0,0,0
SSC10157,34,14,7,11,6,0,6
SSC10158,3,3,0,0,0,0,0
SSC10159,36,17,16,0,3,3,0
SSC10160,28,13,13,3,3,3,0
SSC10161,48,18,14,13,6,4,5
SSC10162,2033,982,557,441,479,193,282
SSC10163,0,0,0,0,0,0,0
SSC10164,2637,1131,1012,461,326,130,190
SSC10165,524,267,164,82,46,16,26
SSC10166,212,88,69,52,32,14,16
SSC10167,131,51,41,33,4,0,4
SSC10168,348,151,122,68,58,32,32
SSC10169,3,3,3,0,0,0,0
SSC10170,0,0,0,0,0,0,0
SSC10171,32,19,6,3,0,0,0
SSC10172,4,0,0,0,0,0,0
SSC10173,201,93,60,47,19,11,6
SSC10174,524,178,247,104,94,60,35
SSC10175,10,9,4,0,0,0,0
SSC10176,32,19,9,6,3,0,3
SSC10177,1604,547,572,485,190,65,130
SSC10178,920,306,352,260,163,52,115
SSC10179,0,0,0,0,0,0,0
SSC10180,7809,1907,3628,2094,1667,766,903
SSC10181,0,0,0,0,0,0,0
SSC10182,8,8,3,0,3,0,0
SSC10183,33,18,7,0,3,0,0
SSC10184,7,4,0,3,0,0,0
SSC10185,4497,2102,1346,994,800,340,459
SSC10186,11,4,3,0,0,0,0
SSC10187,272,118,86,63,26,6,19
SSC10188,21,9,6,0,3,3,0
SSC10189,9,4,3,0,0,0,0
SSC10190,198,97,64,46,40,30,17
SSC10191,33,19,8,4,8,0,4
SSC10192,0,0,0,0,0,0,0
SSC10193,1156,262,432,444,118,39,73
SSC10194,429,104,254,72,61,34,28
SSC10195,618,201,240,170,71,24,45
SSC10196,627,189,234,185,88,30,58
SSC10197,135,52,49,33,17,13,7
SSC10198,1218,472,457,265,165,96,64
SSC10199,378,224,104,49,38,27,13
SSC10200,0,0,0,0,0,0,0
SSC10201,41,14,17,6,10,4,3
SSC10202,122,53,47,27,27,14,13
SSC10203,0,0,0,0,0,0,0
SSC10204,494,162,205,124,81,46,41
SSC10205,468,221,159,80,58,34,24
SSC10206,342,185,93,53,50,23,19
SSC10207,1692,594,609,446,422,227,192
SSC10208,171,60,66,38,22,6,14
SSC10209,43,21,9,16,4,0,4
SSC10210,32,21,0,6,0,0,3
SSC10211,0,0,0,0,0,0,0
SSC10212,0,0,0,0,0,0,0
SSC10213,48,21,17,9,3,3,0
SSC10214,5,0,0,0,0,0,0
SSC10215,9,0,3,0,0,0,0
SSC10216,110,64,25,27,14,7,6
SSC10217,0,0,0,0,0,0,0
SSC10218,44,21,17,3,3,3,0
SSC10219,0,0,0,0,0,0,0
SSC10220,24,6,11,4,0,0,0
SSC10221,9,4,3,0,0,0,0
SSC10222,18,4,9,3,7,4,0
SSC10223,398,178,145,71,73,44,29
SSC10224,2236,524,993,673,448,216,231
SSC10225,0,0,0,0,0,0,0
SSC10226,21,13,9,0,4,3,0
SSC10227,3238,1220,1162,821,657,300,358
SSC10228,460,234,125,88,112,56,50
SSC10229,328,159,98,62,90,45,46
SSC10230,10,5,5,0,0,0,0
SSC10231,1455,635,489,281,325,171,148
SSC10232,341,183,93,62,54,22,35
SSC10233,10451,3142,4594,2610,1171,473,702
SSC10234,72,40,23,11,3,3,0
SSC10235,200,110,50,35,25,12,11
SSC10236,0,0,0,0,0,0,0
SSC10237,933,444,248,227,62,20,41
SSC10238,2044,595,853,583,232,76,159
SSC10239,251,122,78,39,29,9,16
SSC10240,20,13,6,3,0,0,0
SSC10241,18,10,3,7,0,0,0
SSC10242,32,23,9,7,4,0,3
SSC10243,2421,495,1241,671,191,75,119
SSC10244,37,15,15,3,3,3,0
SSC10245,56,25,19,11,4,3,0
SSC10246,16,4,3,0,3,0,0
SSC10247,39,19,19,7,4,3,4
SSC10248,171,66,68,28,28,15,11
SSC10249,2621,829,1005,763,228,87,141
SSC10250,0,0,0,0,0,0,0
SSC10251,115,47,41,33,23,12,12
SSC10252,3,0,0,0,0,0,0
SSC10253,1199,490,459,238,264,150,110
SSC10254,28,18,9,0,0,0,0
SSC10255,3,3,3,0,0,0,0
SSC10256,27,17,6,8,3,0,3
SSC10257,1677,444,658,548,303,101,201
SSC10258,47,14,14,9,3,0,0
SSC10259,8,3,0,0,0,0,0
SSC10260,31,12,14,7,3,3,3
SSC10261,156,52,56,42,21,8,13
SSC10262,12,6,4,3,0,0,0
SSC10263,2134,544,798,777,157,59,100
SSC10264,1039,316,383,316,345,170,177
SSC10265,28,11,5,6,7,0,0
SSC10266,83,30,41,8,12,11,4
SSC10267,35,19,3,9,5,0,3
SSC10268,539,179,222,133,106,59,49
SSC10269,240,100,88,52,48,29,19
SSC10270,70,34,24,11,19,12,3
SSC10271,2668,1046,993,578,312,137,173
