abs_ssc,total_dwellings,outright_total,outright_houses,outright_townhouses,outright_flats,mortgage_total,mortgage_houses,mortgage_townhouses,mortgage_flats,rented_total,rented_houses,rented_townhouses,rented_flats,others_total
SSC10001,6,3,3,0,0,6,6,0,0,0,0,0,0,0
SSC10002,1203,526,520,6,0,545,539,0,0,95,90,6,0,32
SSC10003,2165,771,308,117,351,536,202,91,245,800,126,118,561,53
SSC10004,349,112,111,3,0,187,186,4,0,50,41,10,0,0
SSC10005,11,3,3,0,0,0,0,0,0,3,3,0,0,0
SSC10006,917,261,241,25,0,298,288,7,4,334,192,138,7,32
SSC10007,767,268,267,0,0,266,259,0,4,204,161,4,39,25
SSC10008,28,13,13,0,0,3,3,0,0,5,5,0,0,3
SSC10009,1734,320,304,15,0,772,747,22,3,616,511,101,0,37
SSC10010,819,289,289,4,0,346,340,3,0,155,129,15,3,25
SSC10011,86,29,29,0,0,51,51,0,0,7,7,0,0,4
SSC10012,5,0,0,0,0,0,0,0,0,4,4,0,0,0
SSC10013,14,9,9,0,0,4,4,0,0,4,4,0,0,0
SSC10014,1106,228,36,187,5,685,152,512,24,178,39,125,10,19
SSC10015,133,80,83,0,0,27,26,0,0,20,17,0,0,3
SSC10016,2391,622,524,65,33,757,653,57,54,951,430,250,267,57
SSC10017,1901,866,848,18,5,723,713,3,11,267,215,10,39,41
SSC10018,378,178,175,0,0,119,112,0,0,62,51,3,13,18
SSC10019,23,10,5,0,0,7,7,0,0,6,3,0,0,3
SSC10020,19,8,8,0,0,4,4,0,0,3,4,0,0,0
SSC10021,251,88,88,0,0,114,116,0,0,43,40,0,0,3
SSC10022,939,21,21,0,0,20,20,0,0,835,600,230,3,52
SSC10023,43,17,16,0,0,6,6,0,0,24,24,0,0,0
SSC10024,25,20,20,0,0,3,3,0,0,3,3,0,0,0
SSC10025,4237,1312,1147,167,0,2096,1949,144,5,722,522,195,8,99
SSC10026,2424,800,707,89,0,884,781,101,3,631,399,219,18,111
SSC10027,1961,674,551,109,14,485,420,65,3,739,270,385,82,62
SSC10028,248,127,126,0,0,101,101,0,0,21,12,3,0,6
SSC10029,67,35,35,0,0,20,20,0,0,14,14,0,0,0
SSC10030,3592,457,46,283,131,1227,60,460,705,1805,48,451,1307,101
SSC10031,908,455,454,3,0,403,398,9,0,38,38,0,0,14
SSC10032,35,8,8,0,0,12,12,0,0,5,3,0,0,0
SSC10033,3,0,0,0,0,3,3,0,0,3,3,0,0,0
SSC10034,29,9,9,0,0,10,13,0,0,4,4,0,0,4
SSC10035,30,15,15,0,0,5,5,0,0,7,7,0,0,0
SSC10036,2228,822,754,41,21,922,872,25,27,388,220,60,105,95
SSC10037,31,8,8,0,0,11,11,0,0,10,9,0,0,3
SSC10038,2031,530,164,25,344,513,104,33,379,935,77,24,839,61
SSC10039,14,3,3,0,0,3,3,0,0,5,5,0,0,0
SSC10040,49,27,23,0,0,15,15,0,0,3,3,0,0,0
SSC10041,70,34,34,0,0,29,29,0,0,11,11,0,0,4
SSC10042,25,14,14,0,0,10,4,0,0,3,3,0,0,0
SSC10043,14,6,6,0,0,3,3,0,0,3,3,0,0,0
SSC10044,38,23,23,0,0,19,17,0,0,0,0,0,0,0
