school_id,name,suburb,state,postcode,sector,school_type,lat,lng
40275,Saint Mary MacKillop College Albury,Jindera,NSW,2642,Independent,Combined,-35.902879,146.826712
40276,St Dominic Savio School,Rockdale,NSW,2216,Independent,Primary,-33.950985,151.149577
40277,Saint Mary MacKillop Colleges Limited,Wagga Wagga,NSW,2650,Independent,Combined,-35.12896698,147.3479814
40279,Australian Christian College - Distance Education,Riverstone,NSW,2765,Independent,Combined,-33.678559,150.841762
40366,Kinma School,Terrey Hills,NSW,2084,Independent,Primary,-33.686607,151.216969
40367,Knox Grammar School,Wahroonga,NSW,2076,Independent,Combined,-33.72254,151.118596
40369,Moriah College,Bondi Junction,NSW,2022,Independent,Combined,-33.899355,151.244827
40370,St Carthage's Primary School - Our Lady of Lourdes campus,Lismore,NSW,2480,Catholic,Primary,-28.820491,153.290809
40372,St Francis Xavier's College,Hamilton,NSW,2303,Catholic,Secondary,-32.927166,151.753714
40374,Holy Spirit Infants School,Abermain,NSW,2326,Catholic,Primary,-32.81091,151.443237
40375,St Joseph's Catholic Primary School Como - Oyster Bay,Como,NSW,2226,Catholic,Primary,-34.00927,151.073429
40378,St Therese's Community Primary School,Wilcannia,NSW,2836,Catholic,Primary,-31.559128,143.379376
40381,Highfields Preparatory and Kindergarten School,Lindfield,NSW,2070,Independent,Primary,-33.774982,151.163657
40383,Odyssey House - Progressive Learning Centre,Eagle Vale,NSW,2558,Independent,Special,-34.034379,150.813818
40384,Coffs Harbour Christian Community School,Bonville,NSW,2450,Independent,Combined,-30.378228,153.057112
40408,Tangara School for Girls,Cherrybrook,NSW,2126,Independent,Combined,-33.7363676,151.0360805
40409,Heritage Christian School,Port Macquarie,NSW,2444,Independent,Combined,-31.430279,152.881802
40410,St Spyridon College - Junior School Campus,Kingsford,NSW,2032,Independent,Combined,-33.925448,151.224481
40436,Chifley College Senior Campus,Mount Druitt,NSW,2770,Government,Secondary,-33.769305,150.829855
40437,Moree Secondary College Albert St Campus,Moree,NSW,2400,Government,Secondary,-29.48198938,149.8398544
40438,St Marys Senior High School,St Marys,NSW,2760,Government,Secondary,-33.763119,150.770024
40440,Brisbane Water Secondary College Woy Woy Campus,Woy Woy,NSW,2256,Government,Secondary,-33.492687,151.323582
40441,Sydney Secondary College Blackwattle Bay Campus,Glebe,NSW,2037,Government,Secondary,-33.875142,151.188357
40451,All Saints Catholic Senior College,Casula,NSW,2170,Catholic,Secondary,-33.952689,150.906217
40452,Tallowood Steiner School,Bowraville,NSW,2449,Independent,Primary,-30.63428,152.855876
40492,Australia Street Infants School,Newtown,NSW,2042,Government,Primary,-33.895783,151.177607
40493,Russell Lea Public School,Five Dock,NSW,2046,Government,Primary,-33.861418,151.142572
40494,Taverners Hill Infants School,Petersham,NSW,2049,Government,Primary,-33.888955,151.157199
40496,Northern Beaches Secondary College Freshwater Senior Campus,Freshwater,NSW,2096,Government,Secondary,-33.77012,151.278859
40499,Yeo Park Infants School,Ashfield,NSW,2131,Government,Primary,-33.90251807,151.1296902
40512,Fowler Road School,Merrylands,NSW,2160,Government,Special,-33.841497,150.975533
40513,Sefton Infants School,Sefton,NSW,2162,Government,Primary,-33.889237,151.009588
40522,Mount Lewis Infants School,Greenacre,NSW,2190,Government,Primary,-33.916084,151.04976
40523,Bankstown South Infants School,Bankstown,NSW,2200,Government,Primary,-33.93123,151.038402
40524,Arncliffe West Infants School,Arncliffe,NSW,2205,Government,Primary,-33.931832,151.14516
40525,Bardwell Park Infants School,Bardwell Park,NSW,2207,Government,Primary,-33.93349921,151.1253783
40526,Hurstville Grove Infants School,Penshurst,NSW,2222,Government,Primary,-33.973128,151.090536
40528,Kotara School,Kotara,NSW,2289,Government,Special,-32.94283,151.700379
40530,Callaghan College Jesmond Campus,Jesmond,NSW,2299,Government,Secondary,-32.90150524,151.6962969
40532,New Lambton Heights Infants School,New Lambton Heights,NSW,2305,Government,Primary,-32.934855,151.688027
40533,Nillo Infants School,Lorn,NSW,2320,Government,Primary,-32.727541,151.559611
40543,Stanford Merthyr Infants School,Stanford Merthyr,NSW,2327,Government,Primary,-32.823423,151.495438
40545,Glen Innes West Infants School,Glen Innes,NSW,2370,Government,Primary,-29.738734,151.723882
40555,Rugby Public School,Rugby,NSW,2583,Government,Primary,-34.392245,148.992695
40556,Cabramurra Public School,Cabramurra,NSW,2629,Government,Primary,-35.931626,148.379008
40559,Narrandera East Infants School,Narrandera,NSW,2700,Government,Primary,-34.75016785,146.564682
40560,Jugiong Public School,Jugiong,NSW,2726,Government,Primary,-34.820203,148.335447
40569,Sofala Public School,Sofala,NSW,2795,Government,Primary,-33.082242,149.695172
40573,Goolma Public School,Goolma,NSW,2852,Government,Primary,-32.3688,149.26901
40611,St Paul's International College,Moss Vale,NSW,2577,Independent,Secondary,-34.549152,150.36822
40617,De La Salle Catholic College - Cronulla,Cronulla,NSW,2230,Catholic,Secondary,-34.055592,151.143328
40618,All Saints College (St Mary's Campus),Maitland,NSW,2320,Catholic,Secondary,-32.73784,151.559996
40622,Five Islands Secondary College,Port Kembla,NSW,2505,Government,Secondary,-34.48954578,150.9122635
40624,Coffs Harbour Senior College,Coffs Harbour,NSW,2450,Government,Secondary,-30.330173,153.102656
40633,Field of Mars Environmental Education Centre,East Ryde,NSW,2113,Government,Special,-33.816092,151.132849
40637,Bradfield College,St Leonards,NSW,2065,Government,Secondary,-33.820468,151.188457
40638,Bankstown Senior College,Bankstown,NSW,2200,Government,Secondary,-33.929121,151.022569
40639,Australian Institute of Music,Surry Hills,NSW,2010,Independent,Secondary,-33.883321,151.208645
40644,Blacktown Youth College Incorporated,Hebersham,NSW,2770,Independent,Special,-33.73750955,150.826239
40646,Wyndham College,Quakers Hill,NSW,2763,Government,Secondary,-33.724004,150.875297
40647,Arndell School,North Ryde,NSW,2113,Government,Special,-33.803223,151.125535
40648,Bridge Road School,Camperdown,NSW,2050,Government,Special,-33.887445,151.175254
40649,Girrakool School,Kariong,NSW,2250,Government,Special,-33.4237,151.296
40650,Dorchester School,Campbelltown,NSW,2560,Government,Special,-34.088474,150.826331
40651,Kyeemagh Infants School,Rockdale,NSW,2216,Government,Primary,-33.94902,151.162305
40652,Putland School,Werrington,NSW,2747,Government,Special,-33.764297,150.750385
40654,Shepherds Park School,Wagga Wagga,NSW,2650,Government,Special,-35.130108,147.344225
40672,Calrossy Anglican School,Tamworth,NSW,2340,Independent,Combined,-31.057196,150.911651
40676,Great Lakes College Senior Campus,Tuncurry,NSW,2428,Government,Secondary,-32.170528,152.50117
40681,Georges River College Oatley Senior Campus,Oatley,NSW,2223,Government,Secondary,-33.977001,151.081391
40691,Induna School,South Grafton,NSW,2460,Government,Special,-29.722447,152.94639
40697,Barrenjoey Montessori School,Avalon Beach,NSW,2107,Independent,Primary,-33.631238,151.334001
40706,Centennial Park School,Randwick,NSW,2031,Government,Special,-33.910564,151.243184
40707,Dubbo College Senior Campus,Dubbo,NSW,2830,Government,Secondary,-32.233022,148.625549
40710,Wakefield School,Wakefield,NSW,2278,Government,Special,-32.956712,151.56443
40711,Verona School,Fairfield East,NSW,2165,Government,Special,-33.868235,150.9709
40712,Palm Avenue School,Westmead,NSW,2145,Government,Special,-33.80257496,150.9851858
40715,Oxford College - Sydney,Sydney,NSW,2000,Independent,Secondary,-33.88328072,151.2034996
40718,Castlecrag Montessori School,Castlecrag,NSW,2068,Independent,Primary,-33.79965,151.21915
40720,Al Sadiq College Yagoona Campus,Yagoona,NSW,2199,Independent,Combined,-33.904146,151.023998
40721,Lakes Grammar - An Anglican School,Warnervale,NSW,2259,Independent,Combined,-33.2423897,151.4444111
40724,Alesco Senior College,Cooks Hill,NSW,2300,Independent,Special,-32.929411,151.768353
40725,Lincoln School,Dubbo,NSW,2830,Government,Special,-32.2313,148.5784
40728,Loyola Senior High School,Mount Druitt,NSW,2770,Catholic,Secondary,-33.770003,150.827861
40735,Royal Far West School,Manly,NSW,2095,Government,Special,-33.798519,151.288476
40739,Stewart House School,Curl Curl,NSW,2096,Government,Special,-33.77349,151.29131
40741,Red Hill Environmental Education Centre,Gulgong,NSW,2852,Government,Special,-32.36456021,149.5357054
40742,Thalgarrah Environmental Education Centre,Armidale,NSW,2350,Government,Special,-30.447933,151.82475
40743,Awabakal Environmental Education Centre,Dudley,NSW,2290,Government,Special,-32.990629,151.716639
40744,Botany Bay Environmental Education Centre,Kurnell,NSW,2231,Government,Special,-34.003706,151.221169
40745,Bournda Environmental Education Centre,Kalaru,NSW,2550,Government,Special,-36.79097905,149.9274607
40746,Brewongle Environmental Education Centre,Sackville North,NSW,2756,Government,Special,-33.48167,150.891511
40747,Camden Park Environmental Education Centre,Menangle,NSW,2568,Government,Special,-34.120004,150.709685
40748,Cascade Environmental Education Centre,Cascade,NSW,2453,Government,Special,-30.233457,152.789665
40749,Dorroughby Environmental Education Centre,Dorroughby,NSW,2480,Government,Special,-28.656556,153.35174
40750,Georges River Environmental Education Centre,Chipping Norton,NSW,2170,Government,Special,-33.90847984,150.9610155
40751,Gibberagong Environmental Education Centre,Bobbin Head,NSW,2077,Government,Special,-33.667445,151.14174
40752,Illawarra Environmental Education Centre,Dunmore,NSW,2529,Government,Special,-34.610625,150.854786
40753,Longneck Lagoon Environmental Education Centre,Maraylya,NSW,2765,Government,Special,-33.57875052,150.8941374
40754,Observatory Hill Environmental Education Centre,Millers Point,NSW,2000,Government,Special,-33.860863,151.204832
40755,Penrith Lakes Environmental Education Centre,Cranebrook,NSW,2749,Government,Special,-33.728553,150.686511
40756,Riverina Environmental Education Centre,Wagga Wagga,NSW,2650,Government,Special,-35.12994407,147.3151501
40757,Royal National Park Environmental Education Centre,Audley,NSW,2232,Government,Special,-34.06282,151.057682
40758,Rumbalara Environmental Education Centre,Gosford,NSW,2250,Government,Special,-33.428082,151.347464
40759,Wambangalang Environmental Education Centre,Dubbo,NSW,2830,Government,Special,-32.48798,148.554792
40760,Warrumbungle National Park Environmental Education Centre,Coonabarabran,NSW,2357,Government,Special,-31.25459,148.981077
40761,Wetlands Environmental Education Centre,Shortland,NSW,2307,Government,Special,-32.876107,151.696132
40762,Wooglemai Environmental Education Centre,Oakdale,NSW,2570,Government,Special,-34.134567,150.499162
40773,Woodberry Learning Centre,Woodberry,NSW,2322,Government,Special,-32.791554,151.671217
40775,Holmes Secondary College,Sydney,NSW,2000,Independent,Secondary,-33.869641,151.206069
