school_id,name,suburb,state,postcode,sector,school_type,website,year_range,teaching_staff,non_teaching_staff,total_enrolments,girls_enrolments,boys_enrolments
40275,Saint Mary MacKillop College Albury,Jindera,NSW,2642,Independent,Combined,http://smmc.nsw.edu.au/,K-12,9.5,2,136,69,67
40276,St Dominic Savio School,Rockdale,NSW,2216,Independent,Primary,http://www.stdominicsavio.nsw.edu.au/,K-6,3,0.4,31,14,17
40277,Saint Mary MacKillop Colleges Limited,Wagga Wagga,NSW,2650,Independent,Combined,http://www.blessedmary.nsw.edu.au/,K-12,9.4,1,109,54,55
40366,Kinma School,Terrey Hills,NSW,2084,Independent,Primary,http://www.kinma.nsw.edu.au,K-6,6.4,1,74,39,35
40367,Knox Grammar School,Wahroonga,NSW,2076,Independent,Combined,http://www.knox.nsw.edu.au/,K-12,263,193.5,2890,55,2835
40369,Moriah College,Bondi Junction,NSW,2022,Independent,Combined,http://www.moriah.nsw.edu.au/,K-12,121.6,76.4,1414,694,720
40372,St Francis Xavier's College,Hamilton,NSW,2303,Catholic,Secondary,http://hamilton.catholic.edu.au,11-12,88.6,14.9,973,492,481
40374,Holy Spirit Infants School,Abermain,NSW,2326,Catholic,Primary,http://www.abermain.catholic.edu.au,K-2,7,3.8,120,63,57
40375,St Joseph's Catholic Primary School Como - Oyster Bay,Como,NSW,2226,Catholic,Primary,http://stjcomo.catholic.edu.au,K-6,22.4,8,457,232,225
40378,St Therese's Community Primary School,Wilcannia,NSW,2836,Catholic,Primary,http://www.wilcannia.catholic.edu.au,K-3,4,3.3,22,12,10
40381,Highfields Preparatory and Kindergarten School,Lindfield,NSW,2070,Independent,Primary,http://www.highfields.nsw.edu.au,K-2,8.4,3.5,87,42,45
40383,Odyssey House -  Progressive Learning Centre,Eagle Vale,NSW,2558,Independent,Special,http://www.odysseyhouse.com.au,10,4,0,88,34,54
40384,Coffs Harbour Christian Community School,Bonville,NSW,2450,Independent,Combined,http://www.coffsccs.nsw.edu.au,K-12,58.6,46.8,873,449,424
40408,Tangara School for Girls,Cherrybrook,NSW,2126,Independent,Combined,http://www.tangara.nsw.edu.au,K-12,50.4,15.8,564,506,58
40409,Heritage Christian School,Port Macquarie,NSW,2444,Independent,Combined,http://www.heritage.nsw.edu.au,K-12,31,12.2,344,165,179
40436,Chifley College Senior Campus,Mount Druitt,NSW,2770,Government,Secondary,http://www.chifcolsnr-h.schools.nsw.edu.au,"U, 11-12",51.8,14.5,521,259,262
40437,Moree Secondary College Albert St Campus,Moree,NSW,2400,Government,Secondary,http://www.msccarolav-h.schools.nsw.edu.au,10-12,29.6,6.8,212,116,96
