abs_ssc,name,state,area
"SSC10001",Aarons Pass,New South Wales,82.76
"SSC10002",Abbotsbury,New South Wales,4.98
"SSC10003",Abbotsford,New South Wales,1.02
"SSC10004",Abercrombie,New South Wales,2.98
"SSC10005",Abercrombie River,New South Wales,127.17
"SSC10006",Aberdare,New South Wales,3.30
"SSC10007",Aberdeen,New South Wales,41.63
"SSC10008",Aberfoyle,New South Wales,340.48
"SSC10009",Aberglasslyn,New South Wales,6.22
"SSC10010",Abermain,New South Wales,15.38
"SSC10011",Abernethy,New South Wales,8.40
"SSC10012",Abington,New South Wales,174.31
"SSC10013",Acacia Creek,New South Wales,6.21
"SSC10014",Acacia Gardens,New South Wales,1.00
"SSC10015",Adaminaby,New South Wales,356.50
"SSC10016",Adamstown,New South Wales,3.07
"SSC10017",Adamstown Heights,New South Wales,2.39
"SSC10018",Adelong,New South Wales,20.27
"SSC10019",Adjungbilly,New South Wales,438.10
"SSC10020",Afterlee,New South Wales,34.78
"SSC10021",Agnes Banks,New South Wales,15.48
"SSC10022",Airds,New South Wales,2.38
"SSC10023",Akolele,New South Wales,5.95
"SSC10024",Albert,New South Wales,690.58
"SSC10025",Albion Park,New South Wales,9.10
"SSC10026",Albion Park Rail,New South Wales,7.17
"SSC10027",Albury,New South Wales,5.68
"SSC10028",Aldavilla,New South Wales,15.08
"SSC10029",Alectown,New South Wales,277.14
"SSC10030",Alexandria,New South Wales,3.52
"SSC10031",Alfords Point,New South Wales,2.57
"SSC10032",Alfredtown,New South Wales,75.08
"SSC10033",Alice,New South Wales,13.28
"SSC10034",Alison (Central Coast - NSW),New South Wales,1.40
"SSC10035",Alison (Dungog - NSW),New South Wales,19.27
"SSC10036",Allambie Heights,New South Wales,6.67
"SSC10037",Allandale,New South Wales,10.48
"SSC10038",Allawah,New South Wales,0.58
"SSC10039",Alleena,New South Wales,269.63
"SSC10040",Allgomera,New South Wales,120.39
"SSC10041",Allworth,New South Wales,18.25
"SSC10042",Allynbrook,New South Wales,34.18
