abs_ssc,name,state,area
10001,Aarons Pass,New South Wales,82.76
10002,Abbotsbury,New South Wales,4.98
10003,Abbotsford (NSW),New South Wales,1.02
10004,Abercrombie,New South Wales,2.98
10005,Abercrombie River,New South Wales,127.17
10006,Aberdare,New South Wales,3.30
10007,Aberdeen (NSW),New South Wales,41.63
10008,Aberfoyle,New South Wales,340.48
10009,Aberglasslyn,New South Wales,6.22
10010,Abermain,New South Wales,15.38
10011,Abernethy,New South Wales,8.40
10012,Abington (NSW),New South Wales,174.31
10013,Acacia Creek,New South Wales,6.21
10014,Acacia Gardens,New South Wales,1.00
10015,Adaminaby,New South Wales,356.50
10016,Adamstown,New South Wales,3.07
10017,Adamstown Heights,New South Wales,2.39
10018,Adelong,New South Wales,20.27
10019,Adjungbilly,New South Wales,438.10
10020,Afterlee,New South Wales,34.78
10021,Agnes Banks,New South Wales,15.48
10022,Airds,New South Wales,2.38
10023,Akolele,New South Wales,5.95
10024,Albert,New South Wales,690.58
10025,Albion Park,New South Wales,9.10
10026,Albion Park Rail,New South Wales,7.17
10027,Albury,New South Wales,5.68
10028,Aldavilla,New South Wales,15.08
10029,Alectown,New South Wales,277.14
10030,Alexandria,New South Wales,3.52
10031,Alfords Point,New South Wales,2.57
10032,Alfredtown,New South Wales,75.08
10033,Alice,New South Wales,13.28
10034,Alison (Central Coast - NSW),New South Wales,1.40
10035,Alison (Dungog - NSW),New South Wales,19.27
10036,Allambie Heights,New South Wales,6.67
10037,Allandale (NSW),New South Wales,10.48
10038,Allawah,New South Wales,0.58
10039,Alleena,New South Wales,269.63
10040,Allgomera,New South Wales,120.39
10041,Allworth,New South Wales,18.25
10042,Allynbrook,New South Wales,34.18
10043,Alma Park,New South Wales,87.68
10044,Alpine,New South Wales,23.03
10045,Alstonvale,New South Wales,10.26
10046,Alstonville,New South Wales,28.82
10047,Alumy Creek,New South Wales,9.05
10048,Amaroo (NSW),New South Wales,16.78
10049,Ambarvale,New South Wales,2.88
10050,Amosfield,New South Wales,58.00
10051,Anabranch North,New South Wales,1661.39
10052,Anabranch South,New South Wales,2279.46
10053,Anambah,New South Wales,11.59
10054,Ando,New South Wales,112.16
10055,Anembo,New South Wales,171.82
10056,Angledale,New South Wales,26.81
10057,Angledool,New South Wales,689.50
10058,Anglers Reach,New South Wales,11.13
10059,Angourie,New South Wales,3.54
10060,Anna Bay,New South Wales,22.25
10061,Annandale (NSW),New South Wales,1.49
10062,Annangrove,New South Wales,10.25
10063,Appin (NSW),New South Wales,102.06
10064,Apple Tree Flat,New South Wales,17.02
10065,Appleby,New South Wales,18.15
10066,Appletree Flat,New South Wales,28.53
10067,Apsley (NSW),New South Wales,28.23
10068,Arable,New South Wales,116.33
10069,Arakoon,New South Wales,24.79
10070,Araluen (NSW),New South Wales,121.27
10071,Aratula (NSW),New South Wales,163.38
10072,Arcadia (NSW),New South Wales,22.41
10073,Arcadia Vale,New South Wales,1.35
10074,Ardglen,New South Wales,72.27
10075,Arding,New South Wales,54.77
10076,Ardlethan,New South Wales,538.87
10077,Argalong,New South Wales,132.30
10078,Argenton,New South Wales,1.52
10079,Argents Hill,New South Wales,76.25
10080,Argoon (NSW),New South Wales,247.12
10081,Ariah Park,New South Wales,489.99
10082,Arkell,New South Wales,66.86
10083,Arkstone,New South Wales,79.37
10084,Armatree,New South Wales,484.98
10085,Armidale,New South Wales,274.60
10086,Arncliffe,New South Wales,2.94
10087,Arndell Park,New South Wales,2.00
10088,Arrawarra,New South Wales,2.82
10089,Arrawarra Headland,New South Wales,2.68
10090,Artarmon,New South Wales,2.53
10091,Arthurville,New South Wales,72.54
10092,Arumpo,New South Wales,5396.41
10093,Ashbury,New South Wales,1.03
10094,Ashby (NSW),New South Wales,14.03
10095,Ashby Heights,New South Wales,32.35
10096,Ashby Island,New South Wales,2.41
10097,Ashcroft,New South Wales,1.15
10098,Ashfield (NSW),New South Wales,3.41
10099,Ashford (NSW),New South Wales,681.05
10100,Ashley,New South Wales,332.77
10101,Ashmont,New South Wales,2.43
10102,Ashtonfield,New South Wales,6.83
10103,Asquith,New South Wales,3.50
10104,Atholwood,New South Wales,454.46
10105,Attunga,New South Wales,218.72
10106,Auburn (NSW),New South Wales,8.56
10107,Auburn Vale,New South Wales,63.65
10108,Austinmer,New South Wales,3.34
10109,Austral,New South Wales,17.66
10110,Austral Eden,New South Wales,13.62
10111,Avalon Beach,New South Wales,5.13
10112,Avisford,New South Wales,18.30
10113,Avoca (NSW),New South Wales,24.63
10114,Avoca Beach,New South Wales,4.44
10115,Avon (NSW),New South Wales,265.82
10116,Avondale (NSW),New South Wales,18.31
10117,Avonside,New South Wales,57.36
10118,Awaba,New South Wales,23.12
10119,Aylmerton,New South Wales,2.80
10120,Baan Baa,New South Wales,254.94
10121,Babinda (NSW),New South Wales,476.24
10122,Babyl Creek,New South Wales,25.89
10123,Back Creek (Bland - NSW),New South Wales,449.80
10124,Back Creek (Gwydir - NSW),New South Wales,119.95
10125,Back Creek (Mid-Coast - NSW),New South Wales,31.53
10126,Back Creek (Queanbeyan-Palerang Regional - NSW),New South Wales,39.27
10127,Back Creek (Tenterfield - NSW),New South Wales,200.74
